,Learners,Learn rate,Depth,F1 Macro Score
194,6.0,5.0,8.0,0.6204815995270316
195,6.0,5.0,9.0,0.6298160663519778
196,6.0,7.0,3.0,0.5512588326205636
197,6.0,7.0,4.0,0.5508993311425494
198,6.0,7.0,5.0,0.589236419618198
199,6.0,7.0,6.0,0.6285620473786707
200,6.0,7.0,7.0,0.6235842854761303
201,6.0,7.0,8.0,0.6612752145810956
202,6.0,7.0,9.0,0.6397941959155029
203,6.0,9.0,3.0,0.5387231582970877
204,6.0,9.0,4.0,0.6051851853313246
205,6.0,9.0,5.0,0.6316077311931098
206,6.0,9.0,6.0,0.6305886459528455
207,6.0,9.0,7.0,0.6381402627932786
208,6.0,9.0,8.0,0.6418915833024889
209,6.0,9.0,9.0,0.6896690650828737
210,6.0,11.0,3.0,0.5444398875375289
211,6.0,11.0,4.0,0.6100470978228383
212,6.0,11.0,5.0,0.6145448065297362
213,6.0,11.0,6.0,0.6314125830193081
214,6.0,11.0,7.0,0.6514096862775458
215,6.0,11.0,8.0,0.6785476081762342
216,6.0,11.0,9.0,0.6687295878147123
217,6.0,13.0,3.0,0.5762562491459235
218,6.0,13.0,4.0,0.6157858577229062
219,6.0,13.0,5.0,0.6279929174308474
220,6.0,13.0,6.0,0.6420953193663467
221,6.0,13.0,7.0,0.6501752294767723
222,6.0,13.0,8.0,0.6548763426748427
223,6.0,13.0,9.0,0.6739139857898258
224,6.0,15.0,3.0,0.578231145861726
225,6.0,15.0,4.0,0.6087713148276619
226,6.0,15.0,5.0,0.6432798782532859
227,6.0,15.0,6.0,0.6320529914356133
228,6.0,15.0,7.0,0.6518244852501529
229,6.0,15.0,8.0,0.6505595214298424
230,6.0,15.0,9.0,0.6589590528472992
231,6.0,17.0,3.0,0.5676058403702827
232,6.0,17.0,4.0,0.6040671617469751
233,6.0,17.0,5.0,0.6147178678443552
234,6.0,17.0,6.0,0.636752428473469
235,6.0,17.0,7.0,0.6634890159161958
236,6.0,17.0,8.0,0.6638315189080154
237,6.0,17.0,9.0,0.6818379491585362
238,6.0,19.0,3.0,0.5801278859044963
239,6.0,19.0,4.0,0.6250727469780165
240,6.0,19.0,5.0,0.6210859516288679
241,6.0,19.0,6.0,0.6739439499040948
242,6.0,19.0,7.0,0.6445331226138318
243,6.0,19.0,8.0,0.6750284910794423
244,6.0,19.0,9.0,0.6867265689697833
245,6.0,21.0,3.0,0.5605611841270781
246,6.0,21.0,4.0,0.6286190967169218
247,6.0,21.0,5.0,0.6380046783553621
248,6.0,21.0,6.0,0.6518071223535675
249,6.0,21.0,7.0,0.657939679700686
250,6.0,21.0,8.0,0.6646845292211487
251,6.0,21.0,9.0,0.6788332605525944
252,6.0,23.0,3.0,0.5953553592138028
253,6.0,23.0,4.0,0.6027999956129867
254,6.0,23.0,5.0,0.6280829134130907
255,6.0,23.0,6.0,0.6498625535142948
256,6.0,23.0,7.0,0.6563973474367704
257,6.0,23.0,8.0,0.6737650027698954
258,6.0,23.0,9.0,0.6647953330170964
259,6.0,25.0,3.0,0.5910781624040138
260,6.0,25.0,4.0,0.6039756138534631
261,6.0,25.0,5.0,0.6391030797599114
262,6.0,25.0,6.0,0.6328252851321073
263,6.0,25.0,7.0,0.684111960628367
264,6.0,25.0,8.0,0.6822349822865436
265,6.0,25.0,9.0,0.6884914789048187
266,6.0,27.0,3.0,0.5844205979249534
267,6.0,27.0,4.0,0.6320244414584562
268,6.0,27.0,5.0,0.64399804149302
269,6.0,27.0,6.0,0.6343528436105206
270,6.0,27.0,7.0,0.6650299722225193
271,6.0,27.0,8.0,0.6606485472780232
